HPC_index,name,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_100,C2H6_100
1889,hMOF-21532,[Zn][Zn],"['O=C([O-])C=CC(O)=C(O)C(=O)[O-]', 'O=C([O-])c1c(O)cc(-c2cc(O)c(-c3cc(O)c(C(=O)[O-])c(O)c3O)c(O)c2O)c(O)c1O']",pcu,13.81036,12.31918,0.784182,4358.393779,1943.444392,23.93995025,1.134043806
1890,hMOF-21533,[Zn][Zn],"['O=C([O-])C=CC(O)=C(O)C(=O)[O-]', 'O=C([O-])c1cc(O)c(-c2ccc(-c3ccc(C(=O)[O-])c(O)c3)c(O)c2)c(O)c1']",pcu,14.43903,13.05805,0.777677,4254.916299,1922.336566,21.69974144,0.926106499
1891,hMOF-21546,[Zn][Zn],"['CCCOC(=CC=CC(=O)[O-])C(=O)O', 'CC[CH]Oc1ncc(OCCC)c(-c2ccc(-c3c(OCCC)cnc(OCCC)c3OCCC)c(OCCC)c2)c1OCCC']",pcu,11.31172,8.83687,0.606485,2249.63636,1614.937197,63.68971251,6.722371098
1892,hMOF-21570,[Zn][Zn],['CCC(=C[C]=CC(=O)[O-])C(=O)[O-]'],pcu,6.07146,4.19343,0.452381,998.911221,1115.199069,77.94580321,9.487916049
1893,hMOF-21572,[Zn][Zn],['CCC(=CC(=O)[O-])C(CC)=C(CC)C(=O)[O-]'],pcu,5.87608,3.58467,0.362238,383.916226,475.84861,45.74256747,7.383146784
1894,hMOF-21573,[Zn][Zn],['[CH2]C(C(=O)[O-])=C(C=C(CC)C(=O)[O-])CC'],pcu,6.91267,4.40166,0.510569,1378.114338,1341.564196,76.00936669,9.347601031
1895,hMOF-21577,[Zn][Zn],['CCCC(C=CC(=O)[O-])=CC(=O)[O-]'],pcu,5.89152,3.38822,0.319524,369.990063,478.480829,44.69524452,5.104006735
1896,hMOF-2158,[Zn][O]([Zn])([Zn])[Zn],"['CCCOc1cc(C#CC(=O)[O-])ccc1C#CC(=O)[O-]', 'CCCOc1cc(C#CC(=O)[O-])cc(OCCC)c1C#CC(=O)[O-]']",pcu,14.23634,10.14518,0.841133,6566.83519,2173.19039,15.97930873,0.440555057
1897,hMOF-21598,[Zn][Zn],['COc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C(OC)C2OC'],pcu,5.6784,3.19173,0.339375,619.645534,731.492331,46.33668119,5.57893771
1898,hMOF-21738,[Zn][Zn],"['N#Cc1ccc(C#N)c(Cl)c1', 'O=C([O-])C=C(Cl)C=C(Cl)C(=O)[O-]']",pcu,7.64107,7.04833,0.733639,3613.130859,2455.651653,25.68070429,1.40213106
1899,hMOF-21772,[Zn][Zn],"['N#Cc1ccc(C#N)cc1', 'CCCc1cc(C#CC(=O)[O-])c(CCC)c(CCC)c1C#CC(=O)[O-]']",pcu,11.47707,10.71843,0.749904,4040.977775,2055.09997,33.83819651,1.811337618
1900,hMOF-21789,[Zn][Zn],['N#Cc1cc(-c2ccccc2)c(C#N)cc1-c1ccccc1'],pcu,9.55023,6.19811,0.628917,3198.295771,2018.908934,40.55447228,3.13065846
1901,hMOF-217,[Zn][O]([Zn])([Zn])[Zn],"['COc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'COc1cc(C(=O)[O-])ccc1-c1c(OC)cc(C(=O)[O-])cc1OC']",pcu,9.59241,6.69863,0.750044,3945.544759,2347.596363,21.72942991,0.798585552
1902,hMOF-21871,[Zn][Zn],"['CCCC(=CC(=O)[O-])C(CCC)=C(CCC)C(=O)[O-]', 'CCCc1cnccc1C#Cc1c(CCC)cncc1CCC']",pcu,8.54729,6.9871,0.660977,3776.730442,2231.342965,55.65361457,4.917431945
1903,hMOF-218,[Zn][O]([Zn])([Zn])[Zn],"['C[C]Oc1cc(-c2c(OCC)cc(C(=O)[O-])cc2OCC)c(OCC)cc1[C][O]', 'CCOc1cc(C(=O)[O-])cc(OCC)c1C(=O)[O-]']",pcu,7.67753,5.25861,0.635889,3234.363648,2315.223135,37.56686726,2.380964057
1904,hMOF-21913,[Zn][Zn],"['CCOc1cc(C#Cc2ccncc2OCC)c(OCC)cn1', 'CCOC(C=CC(=O)[O-])=C(OCC)C(=O)[O-]']",pcu,10.31617,9.18332,0.667229,3292.119272,1940.364405,39.96859482,3.17686491
1905,hMOF-21949,[Zn][Zn],"['O=C([O-])C=C(Br)C=C(Br)C(=O)[O-]', 'O=C([O-])c1cc(Br)c(N=Nc2c(Br)cc(C(=O)[O-])c(Br)c2Br)cc1Br']",pcu,11.67527,10.47693,0.767435,2282.82018,1986.453496,20.30933043,1.139010641
1906,hMOF-2195,[Zn][O]([Zn])([Zn])[Zn],"['Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'Cc1cc(C(=O)[O-])c(C)c(C)c1C(=O)[O-]']",pcu,9.5042,6.76712,0.690496,3029.597355,2102.549644,24.63870564,0.923140628
1907,hMOF-21973,[Zn][Zn],"['NC(C=CC(=O)[O-])=CC(=O)[O-]', 'NC(C(=O)[O-])=C(N)C(N)=C(N)C(=O)[O-]']",pcu,8.45188,6.4082,0.672929,3361.377438,2237.649818,31.59199044,2.154225266
